        MR         R2
 7.153E+02  4.447E-02
 7.003E+02  1.154E-01
 7.468E+02  2.185E-02
 1.156E+03  1.482E-02
 5.042E+02  3.692E-02
 4.497E+02  1.444E-02
 9.969E+02  2.906E-02
 4.461E+02  2.528E-02
 4.188E+02  3.698E-02
 7.070E+02  8.800E-02
 7.394E+02  4.620E-02
 8.514E+02  4.986E-02
 3.840E+02  1.446E-02
 7.420E+02  5.420E-02
 7.343E+02  3.065E-02
 7.123E+02  6.447E-02
 6.164E+02  3.539E-02
 1.187E+03  2.017E-02
 2.111E+03  1.242E-02
 7.993E+02  1.810E-01
 2.548E+02  2.369E-02
 1.241E+03  2.003E-02
 6.329E+02  2.050E-02
 8.463E+02  2.721E-02
 8.611E+02  6.138E-03
 4.103E+02  1.097E-01
 5.737E+02  9.230E-02
 1.718E+03  3.180E-03
 5.099E+02  1.379E-01
 3.205E+02  4.362E-02
 4.009E+02  7.356E-02
 5.410E+02  2.224E-02
 2.206E+02  8.165E-01
 1.236E+03  4.183E-02
 8.311E+02  1.946E-02
 3.366E+02  2.234E-01
 1.465E+03  3.931E-03
 1.302E+03  1.488E-03
 7.229E+02  1.035E-02
 8.765E+02  5.835E-02
 5.721E+02  1.127E-01
 4.932E+02  3.760E-03
 5.474E+02  3.248E-02
 3.560E+02  2.957E-01
 6.707E+02  6.181E-03
 4.106E+02  5.023E-02
 6.258E+02  3.736E-02
 7.474E+02  1.571E-02
 4.518E+02  2.853E-02
 4.917E+02  3.327E-02
 7.369E+02  3.858E-02
 7.803E+02  4.937E-02
 6.760E+02  4.882E-02
 9.065E+02  2.273E-02
 6.348E+02  3.646E-02
 1.539E+03  8.645E-03
 3.384E+02  6.130E-01
 4.821E+02  1.174E-01
 5.636E+02  3.697E-02
 4.272E+02  4.445E-02
 8.544E+02  2.754E-02
 6.643E+02  1.706E-02
 6.037E+02  8.129E-02
 5.769E+02  8.847E-02
 5.257E+02  5.646E-02
 5.589E+02  1.125E-01
 9.622E+02  1.441E-01
 8.931E+02  2.979E-02
 4.031E+02  1.202E-01
 6.778E+02  4.401E-02
 6.067E+02  2.295E-02
 4.982E+02  3.698E-02
 5.360E+02  2.038E-02
 2.904E+02  1.242E-01
 5.950E+02  1.731E-02
 7.766E+02  1.296E-02
 5.801E+02  5.183E-02
 1.028E+03  5.787E-03
 4.964E+02  2.174E-02
 4.722E+02  2.102E-02
 6.579E+02  6.636E-02
 6.949E+02  1.861E-02
 5.005E+02  2.144E-02
 5.811E+02  4.593E-02
 1.508E+03  4.547E-03
 4.766E+02  1.909E-02
 1.036E+03  2.570E-03
 7.191E+02  3.034E-02
 4.419E+02  2.045E-01
 4.783E+02  1.376E-01
 6.112E+02  3.600E-02
 3.664E+02  1.549E-02
 4.402E+02  6.243E-02
 1.517E+03  1.776E-02
 3.451E+02  5.010E-02
 8.795E+02  9.970E-03
 7.590E+02  8.554E-02
 9.901E+02  8.711E-03
 8.449E+02  2.568E-02
 1.102E+03  1.848E-01
 8.588E+02  1.081E-02
 7.702E+02  6.361E-02
 6.382E+02  1.413E-01
 6.463E+02  4.129E-03
 5.695E+02  5.649E-02
 7.957E+02  4.576E-02
 5.710E+02  2.752E-02
 9.228E+02  1.224E-01
 5.187E+02  2.550E-02
 1.410E+03  1.554E-02
 4.925E+02  5.429E-02
 5.503E+02  4.473E-02
 8.638E+02  1.772E-02
