weight int_weight lept1_pt lept1_eta lept1_phi lept1_charge lept1_pfx lept1_sip lept2_pt lept2_eta lept2_phi lept2_charge lept2_pfx lept2_sip lept3_pt lept3_eta lept3_phi lept3_charge lept3_pfx lept3_sip lept4_pt lept4_eta lept4_phi lept4_charge lept4_pfx lept4_sip iso_max sip_max Z1mass Z2mass angle_costhetastar angle_costheta1 angle_costheta2 angle_phi angle_phistar1 KD psKD gravKD pt4l mass4l pfmet jet1_pt jet1_eta jet1_phi jet1_et jet2_pt jet2_eta jet2_phi jet2_et deltaetajj massjj VD njets
0.687013 0.670236 29.9875 -2.1221 -0.379306 -1 0.26622 0.714853 69.2604 -0.575882 0.308379 1 0.10306 0.474017 16.0902 -0.788182 -1.63236 1 0.277385 2.5659 26.952 -1.00636 -0.463199 -1 0.445514 1.15645 0.257812 2.5659 83.5542 23.4325 -0.259492 -0.280033 -0.361203 1.68647 2.60758 0.744778 2.98311e+17 0 118.376 121.664 24.6899 156.89 0.386906 2.86564 159.889 40.3996 1.34669 -2.96195 40.7471 0.959784 97.942 0.191566 2
0.648218 0.502506 66.1277 -0.385177 -2.02075 1 0.14491 1.03795 48.4519 -0.197101 2.43231 -1 0.11231 0.37436 17.4869 -0.798239 -1.98734 1 0.386675 0.818999 18.9902 -0.876896 2.46381 -1 0.283667 0.669926 0.283667 1.03795 90.3603 28.9453 0.933276 -0.165705 0.289085 -0.0553146 -0.678833 0.68786 2.98311e+17 0 93.0946 124.639 15.6238 77.3255 -0.811599 0.455299 78.5882 44.7868 -0.517935 -0.263766 45.8755 0.293665 54.1894 0.063264 2
0.690268 0.50219 28.0018 2.1882 -2.9615 1 0.112484 1.18188 55.0329 0.743246 1.29076 -1 0.112355 0.387721 13.9047 1.55479 2.79153 1 0.409703 0.577756 24.2392 0.837837 0.881564 -1 0.112797 0.32745 0.330701 1.18188 90.9314 32.8514 0.45617 -0.974689 0.937796 3.02981 -1.67966 0.737914 2.98311e+17 0 72.0437 125.045 31.6428 91.6318 2.87097 -0.161831 91.654 47.0119 3.79647 -2.21032 47.0141 0.925498 132.11 0.191955 2
0.85607 0.644678 80.9357 1.58668 1.87677 -1 0.183933 1.86575 63.4482 1.18454 2.96244 1 0.0608583 1.88449 26.66 1.5229 3.07457 1 0.0396318 1.69404 15.7019 1.13833 0.716075 -1 0.0750165 1.86189 0.147454 1.88449 79.5169 38.6441 0.548748 0.211514 0.402603 -0.556518 -1.2544 0.961089 2.98311e+17 0 142.938 125.753 37.166 99.0937 1.81317 -0.717515 99.2971 38.0306 2.11282 -1.3014 38.098 0.299653 49.6047 0.0634617 2
2.45462 0.645778 55.7991 -1.30283 -1.03793 -1 0.0811919 0.313821 33.58 -0.960071 1.7575 1 0.0482752 1.02404 36.8816 -1.19491 -0.102059 -1 0.156939 0.592115 15.3314 -0.719769 -0.926342 1 0.293795 1.7837 0.102115 1.7837 86.5739 22.206 0.115993 -0.525513 0.432825 2.21398 1.94629 0.660309 2.98311e+17 0 74.7784 123.414 39.1037 96.7119 -2.17221 2.17841 96.8348 35.8946 -2.18344 0.048565 35.9851 0.0112274 108.413 0.0228363 3
3.15984 0.680791 91.3322 0.148712 0.469806 -1 0.0276316 0.47055 27.9396 -0.49494 2.17651 1 0.0346996 1.38401 35.4992 -0.599912 0.348365 -1 0.123526 1.02996 44.6994 -0.460727 0.756244 1 0.124734 0.587135 0.0977207 1.38401 83.0018 17.0651 0.850921 -0.0972313 0.0538119 1.4727 0.138532 0.461813 2.98311e+17 0 169.531 125.11 11.7682 168.202 -0.286265 -2.47936 169.42 31.1377 3.32175 3.12674 31.1409 3.60801 432.199 0.732424 2
0.686532 0.501344 45.583 0.701711 -2.24302 1 0.0446408 0.236869 54.9026 0.909462 0.0567692 -1 0.100114 1.02809 12.6221 -0.502219 -1.32032 1 0.0716138 0.381293 17.2311 0.783999 -0.128886 -1 0.274713 0.595125 0.140631 1.02809 91.9121 26.1957 0.822788 -0.221274 -0.380663 0.212547 -0.854453 0.682992 2.98311e+17 0 66.2131 125.344 44.7399 117.102 -0.328899 2.18823 118.952 37.6661 -2.81897 -1.08672 37.6816 2.49007 253.278 0.496841 2
0.768659 0.503899 53.658 -2.19072 -0.868557 -1 0.175175 0.132281 41.3342 -1.33629 1.29208 1 0.114114 1.00394 10.1634 -2.36972 -1.29535 -1 0.339244 2.20785 18.4114 -1.94984 1.74115 1 0.0822059 0.415317 0.235123 2.20785 92.8621 27.9282 0.254993 0.372645 -0.554031 0.220758 -2.21708 0.601689 2.98311e+17 0 46.2288 125.485 11.5007 74.5696 -0.936304 -2.48062 75.1476 60.7161 0.834426 1.31928 61.9409 1.77073 188.453 0.354914 2
0.849825 0.499016 52.1274 1.16536 -0.724816 -1 0.0931759 1.1819 54.1929 -0.229989 0.140073 1 0.216793 1.66453 16.3552 1.11187 -1.14962 -1 0.127372 1.28014 14.2279 0.248058 -1.68579 1 0.449845 0.708138 0.344283 1.66453 91.8545 15.8145 -0.230346 -0.627047 -0.021301 0.0559743 -0.18617 0.809746 2.98311e+17 0 112.673 124.042 36.8368 105.469 -0.0808678 2.54003 107.877 31.2066 2.73281 -2.28716 31.222 2.81368 236.808 0.551929 2
0.685882 0.517181 44.9357 -1.13597 -1.24022 1 0.123488 0.236643 59.0129 -0.822631 0.76773 -1 0.0497098 0.779268 11.5155 -1.14621 0.683694 -1 0.475561 0.444008 21.6367 -1.15216 -1.92469 1 0.466424 2.21624 0.340889 2.21624 88.3827 30.4557 0.139762 0.750037 -0.917525 0.65547 1.45342 0.789298 2.98311e+17 0 60.2544 125.064 19.651 44.396 -0.834654 -2.82647 45.002 32.0833 0.201982 1.73894 33.6818 1.03664 73.5187 0.20071 2
