        MR         R2
 7.651E+02  5.376E-02
 5.177E+02  8.478E-01
 9.667E+02  4.937E-01
 5.938E+02  9.297E-01
 1.230E+03  8.503E-02
 7.040E+02  7.312E-02
 5.890E+02  5.136E-01
 9.877E+02  4.095E-02
 6.181E+02  2.057E-01
 1.111E+03  1.095E-01
 8.614E+02  1.027E-01
 1.455E+03  3.546E-02
 1.058E+03  9.116E-02
 1.351E+03  1.797E-01
 5.789E+02  2.740E-01
 9.234E+02  2.438E-01
 2.536E+03  4.473E-02
 1.567E+03  1.848E-01
 1.603E+03  1.747E-01
 1.013E+03  2.328E-02
 1.791E+03  1.286E-01
 1.782E+03  2.077E-01
 8.284E+02  6.233E-01
 1.614E+03  1.889E-02
 8.111E+02  6.580E-01
 1.016E+03  1.668E-01
 6.786E+02  6.311E-01
 9.467E+02  4.642E-01
 5.845E+02  1.967E-01
 6.053E+02  2.702E-01
 1.112E+03  1.714E-01
 9.847E+02  3.390E-01
 8.066E+02  1.666E-02
 1.002E+03  5.607E-01
 7.529E+02  5.491E-01
 1.159E+03  4.455E-01
 1.162E+03  1.208E-01
 9.536E+02  3.669E-01
 1.597E+03  2.943E-01
 8.953E+02  8.585E-02
 1.780E+03  2.198E-01
 1.150E+03  3.811E-01
 1.360E+03  3.734E-01
 8.187E+02  6.613E-01
 1.028E+03  3.607E-02
 1.551E+03  2.899E-01
 4.666E+02  9.029E-01
 1.118E+03  2.180E-01
 4.295E+02  8.677E-01
 1.583E+03  4.384E-02
 9.664E+02  7.266E-02
 8.323E+02  6.665E-01
 5.376E+02  9.834E-02
 1.099E+03  7.958E-02
 1.045E+03  2.376E-01
 4.746E+02  3.005E-01
 1.110E+03  9.651E-02
 1.262E+03  6.692E-02
 1.003E+03  5.491E-01
 9.696E+02  1.456E-01
 1.594E+03  1.740E-01
 8.667E+02  9.162E-02
 5.761E+02  1.887E-01
 1.031E+03  4.703E-01
 4.993E+02  5.126E-01
 1.433E+03  1.129E-01
 4.967E+02  5.759E-01
 7.955E+02  2.147E-01
 1.304E+03  3.702E-01
 1.341E+03  1.033E-01
 1.410E+03  3.971E-01
 9.908E+02  6.542E-01
 7.571E+02  6.755E-01
 1.650E+03  4.518E-02
 8.835E+02  5.326E-01
 1.085E+03  5.422E-02
 1.124E+03  1.285E-01
 5.038E+02  8.156E-02
 1.166E+03  1.115E-01
 8.150E+02  7.367E-01
 6.354E+02  6.583E-01
 1.064E+03  9.668E-02
 8.957E+02  8.552E-01
 6.480E+02  5.608E-02
 5.845E+02  4.001E-01
 1.293E+03  3.514E-01
 1.971E+03  1.277E-01
 1.063E+03  3.139E-01
 1.014E+03  7.009E-01
 1.183E+03  2.220E-01
 8.134E+02  2.224E-01
 5.867E+02  1.978E-01
 8.061E+02  1.359E-01
 2.404E+03  1.279E-01
 6.106E+02  4.509E-01
 1.208E+03  2.025E-01
 1.615E+03  2.367E-01
 9.940E+02  5.209E-02
 7.780E+02  2.310E-01
 9.846E+02  6.572E-01
 7.573E+02  3.198E-01
 3.398E+03  1.342E-01
 1.111E+03  8.871E-02
 1.525E+03  4.762E-02
 1.717E+03  7.217E-02
 1.030E+03  3.735E-01
 1.867E+03  3.708E-01
 7.897E+02  5.693E-01
 1.053E+03  2.983E-01
 2.393E+03  3.397E-02
 9.468E+02  1.603E-01
 1.170E+03  2.956E-01
 5.312E+02  1.362E-01
 5.246E+02  7.503E-01
 1.845E+03  1.120E-01
 7.550E+02  1.405E-02
 1.307E+03  1.297E-01
 8.869E+02  2.987E-01
 6.439E+02  1.864E-01
 7.334E+02  6.748E-02
 8.037E+02  2.370E-01
 1.692E+03  3.750E-01
 2.158E+03  5.208E-02
 7.188E+02  2.470E-02
 9.942E+02  2.620E-01
 1.226E+03  4.151E-01
 9.312E+02  4.534E-01
 4.460E+02  4.245E-01
 1.041E+03  1.695E-01
 9.635E+02  1.640E-01
 1.273E+03  5.301E-01
 1.730E+03  1.313E-01
